,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,22306,401,,8.2,7.2,7.7,5.8,5.7,16.6,15.1,12.9,4.8,5.6,6.8,2.5,1.1,,,76.8,27.0,73.0,70.4,65.4,14.0,10.4,,50.9,70.8,11.1,49.1,75.3,9.6,,96.0,55.3,20.5,0.1,8.1,,12.0,4.0,58.3,22.7,1.2,9.5,0.3,12.8,,36.2,63.8,31.8,20.0,0.1,8.1,
0,22305,370,,11.7,6.7,3.5,3.6,5.5,23.3,19.4,12.1,4.3,3.1,4.8,1.7,0.4,,,78.1,24.2,75.8,74.3,69.0,8.7,6.8,,49.3,75.0,6.9,50.7,76.7,6.8,,97.2,62.6,13.9,,5.4,,15.2,2.8,64.8,15.1,0.7,6.7,0.1,15.5,,35.4,64.6,43.6,12.9,,5.4,
0,22304,352,,6.8,4.6,4.3,4.1,6.2,21.6,16.9,13.1,6.5,4.9,6.6,3.2,1.2,,,84.3,18.3,81.7,79.3,74.0,14.0,11.0,,47.5,79.1,9.0,52.5,84.0,12.8,,92.7,52.4,28.7,,8.3,0.1,3.2,7.3,59.2,31.9,0.9,11.0,0.3,4.6,,17.1,82.9,41.1,27.9,,8.2,
0,22309,311,,8.5,8.7,6.7,5.4,6.7,14.6,13.6,14.1,6.7,4.8,6.0,3.0,1.2,,,76.1,27.2,72.8,69.9,64.0,13.2,10.2,,49.8,72.1,9.1,50.2,73.5,11.4,,92.6,54.5,23.3,0.1,8.2,0.2,6.2,7.4,60.5,27.1,1.5,10.5,0.8,7.5,,32.7,67.3,30.5,23.3,0.1,8.2,0.2
0,22312,250,,7.5,6.0,4.1,5.6,7.3,17.6,16.3,13.3,6.5,5.9,6.6,2.8,0.6,,,82.4,20.5,79.5,75.5,69.5,13.3,10.0,,50.3,79.6,9.3,49.7,79.4,10.6,,93.4,44.9,27.7,0.5,14.9,,5.3,6.6,51.0,28.9,2.0,17.4,0.2,7.4,,24.1,75.9,30.1,27.3,,14.9,
0,22311,219,,8.6,6.6,3.9,3.2,4.0,22.9,21.5,11.0,3.8,4.9,4.7,2.2,2.6,,,80.8,20.9,79.1,76.9,73.6,12.3,9.6,,51.5,78.7,7.8,48.5,79.6,11.4,,94.1,50.2,32.1,0.3,6.9,,4.7,5.9,55.7,35.4,0.4,9.7,0.1,5.8,,24.3,75.7,33.1,31.8,,6.9,
0,22310,166,,6.6,6.0,6.0,5.0,5.9,14.4,16.2,14.6,7.8,5.4,6.8,4.4,0.9,,,81.4,21.7,78.3,75.7,70.6,15.1,12.1,,47.9,77.3,10.8,52.1,79.2,13.4,,94.2,60.4,16.1,,14.6,0.1,3.0,5.8,65.7,18.2,0.9,17.5,0.3,3.6,,15.8,84.2,49.6,15.5,,14.5,0.1
0,22314,123,,5.9,2.8,2.9,1.6,3.7,24.9,16.5,14.4,6.7,5.6,10.4,3.3,1.3,,,88.4,12.6,87.4,86.1,83.0,17.7,15.0,,47.0,87.7,14.8,53.0,87.0,15.2,,96.5,75.8,14.0,0.2,4.8,,1.7,3.5,78.9,15.4,1.2,6.1,0.1,1.9,,7.2,92.8,70.8,13.8,0.1,4.6,
0,22302,114,,5.2,5.3,3.8,4.3,3.9,20.9,18.1,15.0,5.5,6.7,7.1,2.5,1.7,,,85.6,17.7,82.3,80.2,77.4,15.6,11.2,,46.7,79.9,9.0,53.3,84.4,13.2,,95.7,72.2,13.7,,5.0,,4.6,4.3,75.3,16.0,1.1,6.5,0.1,6.2,,16.3,83.7,62.4,13.6,,5.0,
0,22303,84,,5.7,4.4,3.0,3.0,7.8,26.0,16.7,11.4,5.0,5.3,7.0,3.7,1.0,,,86.9,15.4,84.6,82.8,76.1,14.9,11.6,,51.0,84.0,9.9,49.0,85.3,13.4,,97.0,59.0,15.9,,12.5,,9.5,3.0,61.7,17.2,0.3,14.2,0.1,9.7,,18.9,81.1,50.4,15.3,,12.4,
0,22315,60,,7.7,6.5,5.3,4.8,3.8,16.7,15.5,16.5,7.6,5.4,6.7,2.6,1.0,,,80.5,22.2,77.8,75.0,71.9,13.4,10.3,,49.3,76.8,9.7,50.7,78.8,11.0,,94.4,63.5,17.5,0.3,10.6,,2.4,5.6,68.8,19.5,1.2,14.1,0.1,2.6,,10.4,89.6,56.8,17.0,0.3,10.4,
0,22301,41,,8.3,5.1,5.3,3.7,1.6,19.9,20.8,16.0,6.5,3.7,5.8,2.0,1.0,,,81.2,21.9,78.1,77.5,75.9,11.4,8.9,,47.4,78.8,9.2,52.6,77.5,8.6,,96.4,86.5,4.8,0.4,2.5,0.1,2.2,3.6,90.0,5.7,0.7,4.2,0.2,3.0,,9.7,90.3,80.1,4.7,0.4,2.5,0.1
0,22307,40,,5.7,5.5,5.8,4.9,3.9,11.6,12.9,16.4,7.9,7.4,9.6,5.6,2.8,,,83.0,19.8,80.2,77.2,74.2,22.9,18.0,,44.5,79.6,17.5,55.5,80.6,18.4,,97.6,87.0,3.1,0.3,4.4,0.2,2.6,2.4,89.2,3.8,0.7,5.7,0.3,2.6,,10.0,90.0,80.2,3.0,0.1,4.2,0.1
0,22308,26,,7.9,9.4,7.8,6.0,3.9,4.9,13.7,17.5,6.1,5.7,7.7,6.1,3.0,,,74.8,29.9,70.1,68.0,64.9,20.2,16.9,,51.6,66.5,15.3,48.4,74.0,18.6,,98.0,91.9,2.4,,3.2,,0.6,2.0,93.9,2.9,0.2,4.3,0.2,0.9,,5.3,94.7,87.4,2.3,,3.2,
